SMILES,T,P,Leak Size,Material Quantity,Number of carbon atoms,Number of hydrogen atoms,Number of oxygen  atoms,Number of nitrogen  atoms,Number of sulfur  atoms,Number of Halogen atoms,Molecular Weight,DM,¦ÅHOMO,¦ÅLUMO,¦Ì,¦Ç,¦Ø,lg(Explosion Diameter)
CC,0,500,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.908212025
CC,0,500,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.908688178
CC,0,500,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.908706399
CC,20,500,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.53501294
CC,20,500,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.534903966
CC,20,500,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.534912837
CC,50,500,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.48341754
CC,50,500,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.483337631
CC,50,500,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.483324787
CC,0,1000,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.991219871
CC,0,1000,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.991881897
CC,0,1000,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.992219827
CC,20,1000,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.949644653
CC,20,1000,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.949864056
CC,20,1000,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.949894764
CC,50,1000,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.714802364
CC,50,1000,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.715486058
CC,50,1000,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.715817894
CC,100,1000,10,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.479127398
CC,100,1000,10,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.478852084
CC,100,1000,10,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.478984717
CC,0,100,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.568207593
CC,0,100,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.568500932
CC,0,100,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.568411778
CC,20,100,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.549194604
CC,20,100,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.549888124
CC,20,100,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.549711786
CC,50,100,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.524939786
CC,50,100,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.524615486
CC,50,100,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.524711504
CC,100,100,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.405498328
CC,100,100,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.405045683
CC,100,100,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.405038847
CC,0,500,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.374379864
CC,0,500,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.374464221
CC,0,500,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.374260636
CC,20,500,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.954454779
CC,20,500,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.954569073
CC,20,500,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.956177078
CC,50,500,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.888707293
CC,50,500,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.888953006
CC,50,500,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.888658471
CC,100,500,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.824627555
CC,100,500,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.824882423
CC,100,500,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.824937018
CC,0,1000,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.448356889
CC,0,1000,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.448298108
CC,0,1000,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.448553285
CC,20,1000,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.412819931
CC,20,1000,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.412877002
CC,20,1000,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.412843431
CC,50,1000,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.172059724
CC,50,1000,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.172509525
CC,50,1000,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.172518282
CC,100,1000,25,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.038993503
CC,100,1000,25,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.039029231
CC,100,1000,25,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.03903717
CC,0,100,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.879231826
CC,0,100,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.879534542
CC,0,100,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.879056866
CC,20,100,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.857062185
CC,20,100,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.856887116
CC,20,100,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.856913683
CC,50,100,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.828892446
CC,50,100,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.828844787
CC,50,100,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.829074662
CC,100,100,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.788651909
CC,100,100,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.788807318
CC,100,100,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,1.788507752
CC,0,500,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.699070749
CC,0,500,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.698669369
CC,0,500,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.69855549
CC,20,500,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.312537003
CC,20,500,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.312452407
CC,20,500,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.312291629
CC,50,500,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.250249179
CC,50,500,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.250171066
CC,50,500,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.250249179
CC,100,500,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.182360434
CC,100,500,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.18221772
CC,100,500,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.182251976
CC,0,1000,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.768167299
CC,0,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.768879966
CC,0,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.768753503
CC,20,1000,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.739285093
CC,20,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.739522505
CC,20,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.73925422
CC,50,1000,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.513794056
CC,50,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.513920428
CC,50,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.513903137
CC,100,1000,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393297868
CC,100,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393433047
CC,100,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393622578
CCC,0,100,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,100,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,100,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109345646
CCC,0,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109490802
CCC,0,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109494177
CCC,20,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.034732707
CCC,20,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.035057326
CCC,20,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.034985209
CCC,50,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.941196281
